trade_date,code,name,seat_code,seat_name,seat_abbr,act_buy,act_sell,net_amt,reason,change_rate
20260911,600354,敦煌种业,10135341,中信证券股份有限公司上海分公司,中信证券上海分公司,28998952.62,,28998952.62,有价格涨跌幅限制的日换手率达到20%的前五只证券,-4.1921
20260911,600127,金健米业,10678762,东方财富证券股份有限公司拉萨金融城南环路证券营业部,东方财富证券拉萨金融城南环路证券营业部,28868358.22,,28868358.22,有价格涨跌幅限制的日换手率达到20%的前五只证券,-3.2143
20260911,600127,金健米业,10434470,沪股通专用,沪股通专用,148258216.79,119657533.69,28600683.1,有价格涨跌幅限制的日换手率达到20%的前五只证券,-3.2143
20260911,300563,神宇股份,10000170384,华鑫证券有限责任公司绍兴胜利东路证券营业部,华鑫证券绍兴胜利东路证券营业部,27769927.0,0.0,27769927.0,日涨幅达到15%的前5只证券,19.9828
20260911,002403,爱仕达,10429361,中信建投证券股份有限公司北京远大路证券营业部,中信建投证券北京远大路证券营业部,27036775.98,99427.0,26937348.98,连续三个交易日内，跌幅偏离值累计达到20%的证券,-10.0
20260911,603042,华脉科技,10081709,招商证券股份有限公司深圳益田路免税商务大厦证券营业部,招商证券深圳益田路免税商务大厦证券营业部,22723243.07,,22723243.07,有价格涨跌幅限制的日换手率达到20%的前五只证券,-1.369
20260911,603042,华脉科技,10081709,招商证券股份有限公司深圳益田路免税商务大厦证券营业部,招商证券深圳益田路免税商务大厦证券营业部,22723243.07,,22723243.07,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-1.369
20260911,002579,中京电子,10634757,深股通专用,深股通专用,136838553.92,114592890.64,22245663.28,日换手率达到20%的前5只证券,2.0921
20260911,002403,爱仕达,10028588,中国中金财富证券有限公司南昌红谷中大道证券营业部,中国中金财富证券南昌红谷中大道证券营业部,22151597.1,171350.0,21980247.1,连续三个交易日内，跌幅偏离值累计达到20%的证券,-10.0
20260911,600359,新农开发,10000297997,东莞证券股份有限公司武汉营业部,东莞证券武汉营业部,21603215.0,,21603215.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,0.8299
20260911,603386,骏亚科技,10004865,国泰海通证券股份有限公司,国泰海通,21186067.0,,21186067.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0267
20260911,000978,桂林旅游,10115140,中国银河证券股份有限公司北京中关村大街证券营业部,中国银河证券北京中关村大街证券营业部,22267901.0,1083788.0,21184113.0,日换手率达到20%的前5只证券,1.8576
20260911,000737,北方铜业,10074990,中国银河证券股份有限公司合肥临泉路证券营业部,中国银河证券合肥临泉路证券营业部,20526842.0,253904.0,20272938.0,日跌幅偏离值达到7%的前5只证券,-10.0122
20260911,603042,华脉科技,10050414,中国国际金融股份有限公司北京建国门外大街证券营业部,中国国际金融北京建国门外大街证券营业部,20201356.96,,20201356.96,有价格涨跌幅限制的日换手率达到20%的前五只证券,-1.369
20260911,603042,华脉科技,10050414,中国国际金融股份有限公司北京建国门外大街证券营业部,中国国际金融北京建国门外大街证券营业部,20201356.96,,20201356.96,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-1.369
20260911,603336,宏辉果蔬,10023480,长城证券股份有限公司上海长宁区延安西路证券营业部,长城证券上海长宁区延安西路证券营业部,19907818.0,,19907818.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0327
20260911,002790,瑞尔特,10000031462,华福证券股份有限公司南京创智路证券营业部,华福证券南京创智路证券营业部,19736003.0,0.0,19736003.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0473
20260911,688260,昀冢科技,10163378,国泰海通证券股份有限公司南宁民族大道证券营业部,国泰海通证券南宁民族大道证券营业部,19303678.27,,19303678.27,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,18.6825
20260911,605006,山东玻纤,10000399618,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,高盛(中国)证券上海浦东新区世纪大道证券营业部,84278125.47,65060943.19,19217182.28,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,6.6397
20260911,000523,红棉股份,10433911,国泰海通证券股份有限公司张家港人民中路证券营业部,国泰海通证券张家港人民中路证券营业部,18301404.0,4836.5,18296567.5,日跌幅偏离值达到7%的前5只证券,-10.0897
20260911,603601,再升科技,10434470,沪股通专用,沪股通专用,224493506.63,206424416.16,18069090.47,有价格涨跌幅限制的日换手率达到20%的前五只证券,8.3333
20260911,000823,超声电子,10634757,深股通专用,深股通专用,185086793.18,167163088.43,17923704.75,日换手率达到20%的前5只证券,10.0
20260911,000823,超声电子,10634757,深股通专用,深股通专用,185086793.18,167163088.43,17923704.75,日涨幅偏离值达到7%的前5只证券,10.0
20260911,600359,新农开发,10342130,国金证券股份有限公司上海静安区南京西路证券营业部,国金证券上海静安区南京西路证券营业部,17708160.0,,17708160.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,0.8299
